Series ID,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
LAUCN050270000000006,9176(T),9210(T),9209(T),9171(T),9182(T),9177(T),8828(T),9016(T),9329(T),9468(T),9372(T),9310(T)
LAUCN050290000000003,5.3(T),4.7(T),4.0(T),3.9(T),4.4(T),4.7(T),5.0(T),4.3(T),4.0(T),3.7(T),3.6(T),4.0(T)
LAUCN050290000000004,427(T),381(T),332(T),326(T),363(T),394(T),417(T),362(T),339(T),304(T),298(T),331(T)
LAUCN050290000000005,7703(T),7802(T),7914(T),7968(T),7922(T),8062(T),7868(T),7971(T),8041(T),8022(T),8048(T),7987(T)
LAUCN050290000000006,8130(T),8183(T),8246(T),8294(T),8285(T),8456(T),8285(T),8333(T),8380(T),8326(T),8346(T),8318(T)
LAUCN050310000000003,3.5(T),3.2(T),2.7(T),2.3(T),2.7(T),3.1(T),3.3(T),2.9(T),2.5(T),2.3(T),2.3(T),2.5(T)
LAUCN050310000000004,1924(T),1797(T),1510(T),1275(T),1526(T),1724(T),1888(T),1614(T),1429(T),1328(T),1311(T),1413(T)
LAUCN050310000000005,52788(T),53648(T),54118(T),54283(T),54401(T),54644(T),55473(T),54503(T),55243(T),55501(T),55463(T),55508(T)
LAUCN050310000000006,54712(T),55445(T),55628(T),55558(T),55927(T),56368(T),57361(T),56117(T),56672(T),56829(T),56774(T),56921(T)
LAUCN050330000000003,4.1(T),4.0(T),3.2(T),2.7(T),3.1(T),3.5(T),3.8(T),3.6(T),3.1(T),2.9(T),2.8(T),3.0(T)
LAUCN050330000000004,1089(T),1067(T),864(T),726(T),827(T),948(T),1028(T),958(T),823(T),778(T),745(T),811(T)
LAUCN050330000000005,25410(T),25773(T),25941(T),26057(T),26178(T),26246(T),26269(T),25966(T),26062(T),26198(T),26138(T),25890(T)
LAUCN050330000000006,26499(T),26840(T),26805(T),26783(T),27005(T),27194(T),27297(T),26924(T),26885(T),26976(T),26883(T),26701(T)
LAUCN050350000000003,5.0(T),4.8(T),4.1(T),3.6(T),4.2(T),4.9(T),5.1(T),4.4(T),3.9(T),3.6(T),3.5(T),3.8(T)
LAUCN050350000000004,1053(T),1002(T),868(T),760(T),885(T),1045(T),1123(T),941(T),837(T),755(T),746(T),801(T)
LAUCN050350000000005,19826(T),20086(T),20218(T),20272(T),20303(T),20370(T),20703(T),20498(T),20381(T),20457(T),20581(T),20399(T)
LAUCN050350000000006,20879(T),21088(T),21086(T),21032(T),21188(T),21415(T),21826(T),21439(T),21218(T),21212(T),21327(T),21200(T)
LAUCN050370000000003,5.4(T),5.1(T),4.3(T),3.6(T),4.0(T),4.1(T),4.6(T),4.1(T),3.7(T),3.6(T),3.7(T),4.1(T)
LAUCN050370000000004,397(T),369(T),311(T),266(T),295(T),312(T),341(T),308(T),274(T),267(T),273(T),302(T)
LAUCN050370000000005,6916(T),6934(T),6984(T),7054(T),7063(T),7283(T),7040(T),7237(T),7186(T),7208(T),7149(T),7084(T)
LAUCN050370000000006,7313(T),7303(T),7295(T),7320(T),7358(T),7595(T),7381(T),7545(T),7460(T),7475(T),7422(T),7386(T)
LAUCN050390000000003,5.6(T),5.4(T),4.7(T),3.8(T),4.3(T),5.0(T),4.9(T),4.7(T),4.1(T),3.8(T),4.1(T),4.4(T)
LAUCN050390000000004,160(T),153(T),134(T),108(T),122(T),145(T),141(T),135(T),116(T),107(T),115(T),121(T)
LAUCN050390000000005,2678(T),2663(T),2706(T),2712(T),2700(T),2745(T),2711(T),2711(T),2697(T),2700(T),2678(T),2659(T)
LAUCN050390000000006,2838(T),2816(T),2840(T),2820(T),2822(T),2890(T),2852(T),2846(T),2813(T),2807(T),2793(T),2780(T)
LAUCN050410000000003,5.3(T),4.9(T),4.4(T),3.8(T),4.3(T),4.9(T),5.3(T),4.4(T),4.0(T),3.7(T),3.9(T),4.3(T)
LAUCN050410000000004,293(T),266(T),235(T),207(T),230(T),266(T),280(T),238(T),215(T),201(T),212(T),235(T)
LAUCN050410000000005,5203(T),5154(T),5157(T),5188(T),5147(T),5217(T),5019(T),5123(T),5130(T),5271(T),5202(T),5224(T)
LAUCN050410000000006,5496(T),5420(T),5392(T),5395(T),5377(T),5483(T),5299(T),5361(T),5345(T),5472(T),5414(T),5459(T)
LAUCN050430000000003,6.3(T),6.0(T),5.6(T),4.6(T),4.9(T),5.4(T),5.9(T),5.1(T),4.3(T),4.2(T),4.6(T),4.9(T)
LAUCN050430000000004,496(T),474(T),438(T),366(T),385(T),421(T),459(T),387(T),342(T),330(T),362(T),385(T)
LAUCN050430000000005,7389(T),7365(T),7438(T),7510(T),7489(T),7412(T),7285(T),7255(T),7563(T),7549(T),7451(T),7445(T)
LAUCN050430000000006,7885(T),7839(T),7876(T),7876(T),7874(T),7833(T),7744(T),7642(T),7905(T),7879(T),7813(T),7830(T)
LAUCN050450000000003,3.8(T),3.4(T),2.9(T),2.5(T),2.9(T),3.0(T),3.3(T),3.1(T),2.8(T),2.6(T),2.6(T),2.8(T)
LAUCN050450000000004,2341(T),2159(T),1830(T),1552(T),1794(T),1912(T),2114(T),1948(T),1758(T),1652(T),1644(T),1777(T)
LAUCN050450000000005,60025(T),60975(T),61328(T),61212(T),61099(T),61433(T),61750(T),60988(T),60746(T),61176(T),61292(T),60800(T)
LAUCN050450000000006,62366(T),63134(T),63158(T),62764(T),62893(T),63345(T),63864(T),62936(T),62504(T),62828(T),62936(T),62577(T)
LAUCN050470000000003,4.0(T),3.8(T),3.1(T),2.6(T),3.0(T),3.7(T),3.9(T),3.7(T),3.2(T),2.9(T),2.9(T),3.2(T)
LAUCN050470000000004,297(T),279(T),231(T),195(T),227(T),281(T),291(T),279(T),240(T),222(T),218(T),237(T)
LAUCN050470000000005,7049(T),7141(T),7204(T),7316(T),7336(T),7319(T),7225(T),7361(T),7350(T),7430(T),7309(T),7251(T)
LAUCN050470000000006,7346(T),7420(T),7435(T),7511(T),7563(T),7600(T),7516(T),7640(T),7590(T),7652(T),7527(T),7488(T)
LAUCN050490000000003,5.5(T),4.9(T),4.0(T),3.5(T),4.0(T),4.0(T),4.6(T),4.1(T),3.5(T),3.1(T),3.1(T),3.5(T)
LAUCN050490000000004,269(T),243(T),198(T),170(T),202(T),208(T),229(T),200(T),176(T),156(T),155(T),174(T)
LAUCN050490000000005,4615(T),4668(T),4743(T),4724(T),4875(T),4978(T),4792(T),4673(T),4877(T),4842(T),4811(T),4797(T)
LAUCN050490000000006,4884(T),4911(T),4941(T),4894(T),5077(T),5186(T),5021(T),4873(T),5053(T),4998(T),4966(T),4971(T)
LAUCN050510000000003,4.8(T),4.3(T),3.6(T),2.9(T),3.4(T),3.9(T),4.2(T),3.8(T),3.4(T),3.3(T),3.3(T),3.4(T)
LAUCN050510000000004,1943(T),1762(T),1504(T),1229(T),1398(T),1653(T),1802(T),1591(T),1421(T),1350(T),1325(T),1394(T)
LAUCN050510000000005,38788(T),39684(T),40206(T),40567(T),40119(T),40417(T),41028(T),40209(T),39785(T),39596(T),39432(T),39486(T)
LAUCN050510000000006,40731(T),41446(T),41710(T),41796(T),41517(T),42070(T),42830(T),41800(T),41206(T),40946(T),40757(T),40880(T)
LAUCN050530000000003,3.9(T),3.4(T),3.0(T),2.5(T),3.0(T),3.4(T),3.6(T),3.3(T),3.0(T),2.8(T),2.9(T),3.0(T)
LAUCN050530000000004,324(T),285(T),251(T),211(T),250(T),286(T),310(T),282(T),250(T),239(T),246(T),252(T)
LAUCN050530000000005,8033(T),8130(T),8167(T),8179(T),8147(T),8197(T),8257(T),8152(T),8127(T),8206(T),8205(T),8146(T)
LAUCN050530000000006,8357(T),8415(T),8418(T),8390(T),8397(T),8483(T),8567(T),8434(T),8377(T),8445(T),8451(T),8398(T)
LAUCN050550000000003,4.3(T),4.1(T),3.3(T),2.7(T),3.2(T),3.8(T),4.1(T),3.6(T),3.2(T),2.9(T),3.0(T),3.3(T)
LAUCN050550000000004,847(T),813(T),672(T),539(T),642(T),763(T),825(T),709(T),649(T),592(T),609(T),659(T)
LAUCN050550000000005,18956(T),19226(T),19446(T),19476(T),19546(T),19480(T),19486(T),19244(T),19523(T),19485(T),19369(T),19151(T)
LAUCN050550000000006,19803(T),20039(T),20118(T),20015(T),20188(T),20243(T),20311(T),19953(T),20172(T),20077(T),19978(T),19810(T)
LAUCN050570000000003,4.5(T),4.2(T),3.7(T),3.4(T),3.5(T),4.0(T),4.3(T),4.0(T),3.4(T),3.3(T),3.3(T),3.7(T)
LAUCN050570000000004,450(T),424(T),373(T),345(T),353(T),400(T),430(T),391(T),339(T),322(T),324(T),356(T)
LAUCN050570000000005,9515(T),9600(T),9608(T),9678(T),9593(T),9630(T),9467(T),9418(T),9580(T),9575(T),9496(T),9382(T)
LAUCN050570000000006,9965(T),10024(T),9981(T),10023(T),9946(T),10030(T),9897(T),9809(T),9919(T),9897(T),9820(T),9738(T)
LAUCN050590000000003,4.4(T),4.0(T),3.6(T),3.0(T),3.3(T),3.9(T),4.3(T),3.9(T),3.4(T),3.2(T),3.1(T),3.2(T)
LAUCN050590000000004,599(T),562(T),506(T),417(T),464(T),556(T),615(T),545(T),471(T),453(T),435(T),452(T)
LAUCN050590000000005,13143(T),13400(T),13536(T),13649(T),13541(T),13701(T),13707(T),13591(T),13568(T),13587(T),13644(T),13554(T)
LAUCN050590000000006,13742(T),13962(T),14042(T),14066(T),14005(T),14257(T),14322(T),14136(T),14039(T),14040(T),14079(T),14006(T)
LAUCN050610000000003,4.0(T),3.6(T),3.1(T),2.6(T),3.0(T),3.5(T),3.9(T),3.2(T),2.7(T),2.7(T),2.9(T),3.6(T)
LAUCN050610000000004,232(T),207(T),179(T),148(T),172(T),202(T),218(T),182(T),156(T),152(T),160(T),198(T)
LAUCN050610000000005,5534(T),5545(T),5546(T),5523(T),5482(T),5551(T),5436(T),5507(T),5588(T),5543(T),5438(T),5371(T)
LAUCN050610000000006,5766(T),5752(T),5725(T),5671(T),5654(T),5753(T),5654(T),5689(T),5744(T),5695(T),5598(T),5569(T)
LAUCN050630000000003,4.7(T),4.5(T),3.6(T),3.1(T),3.8(T),4.3(T),4.7(T),4.3(T),3.8(T),3.5(T),3.6(T),3.7(T)
LAUCN050630000000004,778(T),738(T),608(T),519(T),634(T),717(T),761(T),698(T),626(T),583(T),600(T),613(T)
LAUCN050630000000005,15650(T),15788(T),16086(T),16217(T),16046(T),15977(T),15586(T),15366(T),16067(T),16079(T),16124(T),16099(T)
LAUCN050630000000006,16428(T),16526(T),16694(T),16736(T),16680(T),16694(T),16347(T),16064(T),16693(T),16662(T),16724(T),16712(T)
LAUCN050650000000003,7.2(T),5.9(T),5.1(T),4.8(T),5.3(T),5.9(T),5.9(T),5.3(T),4.9(T),4.3(T),5.0(T),5.9(T)
LAUCN050650000000004,356(T),288(T),251(T),239(T),265(T),291(T),283(T),258(T),241(T),207(T),241(T),285(T)
LAUCN050650000000005,4579(T),4616(T),4704(T),4706(T),4748(T),4624(T),4513(T),4652(T),4702(T),4656(T),4607(T),4580(T)
LAUCN050650000000006,4935(T),4904(T),4955(T),4945(T),5013(T),4915(T),4796(T),4910(T),4943(T),4863(T),4848(T),4865(T)
LAUCN050670000000003,7.6(T),7.1(T),6.2(T),5.3(T),6.3(T),6.9(T),7.3(T),6.2(T),5.9(T),5.8(T),6.1(T),7.0(T)
LAUCN050670000000004,450(T),412(T),362(T),308(T),368(T),407(T),424(T),363(T),341(T),337(T),346(T),406(T)
LAUCN050670000000005,5436(T),5425(T),5451(T),5480(T),5472(T),5490(T),5358(T),5497(T),5459(T),5435(T),5355(T),5387(T)
LAUCN050670000000006,5886(T),5837(T),5813(T),5788(T),5840(T),5897(T),5782(T),5860(T),5800(T),5772(T),5701(T),5793(T)
LAUCN050690000000003,6.4(T),5.8(T),5.2(T),4.6(T),5.4(T),5.9(T),6.3(T),5.6(T),5.0(T),4.7(T),4.9(T),5.3(T)
LAUCN050690000000004,1772(T),1631(T),1450(T),1271(T),1490(T),1645(T),1756(T),1545(T),1392(T),1291(T),1347(T),1435(T)
LAUCN050690000000005,25724(T),26262(T),26326(T),26368(T),26225(T),26198(T),26222(T),26023(T),26205(T),26370(T),26162(T),25861(T)
LAUCN050690000000006,27496(T),27893(T),27776(T),27639(T),27715(T),27843(T),27978(T),27568(T),27597(T),27661(T),27509(T),27296(T)
LAUCN050710000000003,5.5(T),5.1(T),4.4(T),3.8(T),4.4(T),5.6(T),5.6(T),5.0(T),3.9(T),3.6(T),3.6(T),3.8(T)
LAUCN050710000000004,571(T),533(T),460(T),396(T),459(T),590(T),565(T),491(T),405(T),368(T),364(T),391(T)
LAUCN050710000000005,9779(T),9897(T),9990(T),9912(T),9926(T),9859(T),9524(T),9395(T),9852(T),9883(T),9878(T),9830(T)
LAUCN050710000000006,10350(T),10430(T),10450(T),10308(T),10385(T),10449(T),10089(T),9886(T),10257(T),10251(T),10242(T),10221(T)
LAUCN050730000000003,5.7(T),5.0(T),4.4(T),3.8(T),4.4(T),4.8(T),5.2(T),5.1(T),4.5(T),4.2(T),4.1(T),4.0(T)
LAUCN050730000000004,142(T),125(T),110(T),94(T),110(T),119(T),126(T),123(T),110(T),102(T),100(T),96(T)
LAUCN050730000000005,2343(T),2359(T),2367(T),2393(T),2410(T),2377(T),2300(T),2275(T),2332(T),2344(T),2336(T),2301(T)
LAUCN050730000000006,2485(T),2484(T),2477(T),2487(T),2520(T),2496(T),2426(T),2398(T),2442(T),2446(T),2436(T),2397(T)
LAUCN050750000000003,4.9(T),5.0(T),3.8(T),3.3(T),3.8(T),4.5(T),5.0(T),4.5(T),3.8(T),3.3(T),3.6(T),3.9(T)
LAUCN050750000000004,336(T),341(T),261(T),228(T),262(T),302(T),327(T),302(T),259(T),231(T),249(T),272(T)
LAUCN050750000000005,6516(T),6502(T),6579(T),6674(T),6673(T),6446(T),6259(T),6351(T),6645(T),6735(T),6676(T),6660(T)
LAUCN050750000000006,6852(T),6843(T),6840(T),6902(T),6935(T),6748(T),6586(T),6653(T),6904(T),6966(T),6925(T),6932(T)
LAUCN050770000000003,5.8(T),5.5(T),4.6(T),3.4(T),3.7(T),4.4(T),4.4(T),4.6(T),4.2(T),3.9(T),4.3(T),4.7(T)
LAUCN050770000000004,166(T),156(T),130(T),95(T),105(T),125(T),128(T),132(T),118(T),110(T),119(T),130(T)
LAUCN050770000000005,2714(T),2673(T),2673(T),2720(T),2700(T),2711(T),2753(T),2732(T),2702(T),2683(T),2651(T),2649(T)
LAUCN050770000000006,2880(T),2829(T),2803(T),2815(T),2805(T),2836(T),2881(T),2864(T),2820(T),2793(T),2770(T),2779(T)
LAUCN050790000000003,5.1(T),4.9(T),4.5(T),3.8(T),4.1(T),4.7(T),4.8(T),4.4(T),3.8(T),3.6(T),3.7(T),4.2(T)
LAUCN050790000000004,199(T),192(T),176(T),148(T),161(T),185(T),190(T),173(T),150(T),140(T),142(T),162(T)
LAUCN050790000000005,3673(T),3712(T),3718(T),3756(T),3746(T),3737(T),3790(T),3723(T),3748(T),3775(T),3727(T),3707(T)
LAUCN050790000000006,3872(T),3904(T),3894(T),3904(T),3907(T),3922(T),3980(T),3896(T),3898(T),3915(T),3869(T),3869(T)
LAUCN050810000000003,5.7(T),5.2(T),4.2(T),3.5(T),3.8(T),4.2(T),4.7(T),4.4(T),3.9(T),3.8(T),3.8(T),4.1(T)
LAUCN050810000000004,312(T),286(T),234(T),192(T),211(T),239(T),265(T),242(T),214(T),208(T),212(T),224(T)
LAUCN050810000000005,5151(T),5230(T),5288(T),5304(T),5329(T),5387(T),5344(T),5261(T),5304(T),5308(T),5315(T),5278(T)
LAUCN050810000000006,5463(T),5516(T),5522(T),5496(T),5540(T),5626(T),5609(T),5503(T),5518(T),5516(T),5527(T),5502(T)
LAUCN050830000000003,5.1(T),4.5(T),3.9(T),3.3(T),3.9(T),4.4(T),5.1(T),4.6(T),4.3(T),4.1(T),4.0(T),4.6(T)
LAUCN050830000000004,430(T),382(T),337(T),283(T),334(T),381(T),442(T),400(T),369(T),343(T),335(T),381(T)
LAUCN050830000000005,8081(T),8165(T),8217(T),8203(T),8204(T),8323(T),8166(T),8237(T),8222(T),8105(T),8018(T),7975(T)
LAUCN050830000000006,8511(T),8547(T),8554(T),8486(T),8538(T),8704(T),8608(T),8637(T),8591(T),8448(T),8353(T),8356(T)
LAUCN050850000000003,3.7(T),3.5(T),3.0(T),2.5(T),2.9(T),3.1(T),4.2(T),3.2(T),3.4(T),2.8(T),2.9(T),3.3(T)
LAUCN050850000000004,1259(T),1191(T),1032(T),850(T),987(T),1065(T),1476(T),1103(T),1168(T),967(T),989(T),1124(T)
LAUCN050850000000005,32624(T),33029(T),33193(T),33233(T),33150(T),33331(T),33602(T),33135(T),33021(T),33303(T),33300(T),33078(T)
LAUCN050850000000006,33883(T),34220(T),34225(T),34083(T),34137(T),34396(T),35078(T),34238(T),34189(T),34270(T),34289(T),34202(T)
LAUCN050870000000003,3.4(T),3.2(T),2.4(T),2.1(T),2.3(T),2.6(T),2.8(T),2.8(T),2.4(T),2.3(T),2.1(T),2.2(T)
LAUCN050870000000004,246(T),236(T),176(T),152(T),167(T),189(T),213(T),205(T),179(T),176(T),161(T),167(T)
LAUCN050870000000005,6960(T),7034(T),7076(T),7191(T),7202(T),7186(T),7368(T),7232(T),7306(T),7395(T),7341(T),7320(T)
LAUCN050870000000006,7206(T),7270(T),7252(T),7343(T),7369(T),7375(T),7581(T),7437(T),7485(T),7571(T),7502(T),7487(T)
LAUCN050890000000003,5.2(T),4.8(T),4.1(T),3.4(T),3.6(T),3.9(T),4.1(T),3.9(T),3.8(T),3.5(T),3.4(T),3.9(T)
LAUCN050890000000004,344(T),319(T),274(T),228(T),241(T),271(T),279(T),262(T),256(T),233(T),220(T),257(T)
LAUCN050890000000005,6246(T),6337(T),6385(T),6449(T),6536(T),6596(T),6469(T),6400(T),6492(T),6366(T),6279(T),6251(T)
LAUCN050890000000006,6590(T),6656(T),6659(T),6677(T),6777(T),6867(T),6748(T),6662(T),6748(T),6599(T),6499(T),6508(T)
LAUCN050910000000003,5.4(T),4.9(T),4.2(T),3.5(T),3.6(T),4.3(T),4.5(T),4.1(T),3.6(T),3.4(T),3.5(T),3.8(T)
LAUCN050910000000004,1055(T),965(T),822(T),684(T),708(T),872(T),905(T),808(T),711(T),673(T),693(T),741(T)
LAUCN050910000000005,18428(T),18713(T),18932(T),18982(T),19111(T),19298(T),19179(T),18839(T),18979(T),18961(T),18988(T),18871(T)
LAUCN050910000000006,19483(T),19678(T),19754(T),19666(T),19819(T),20170(T),20084(T),19647(T),19690(T),19634(T),19681(T),19612(T)
LAUCN050930000000003,5.7(T),5.3(T),4.7(T),3.9(T),4.5(T),7.3(T),7.1(T),5.3(T),4.3(T),3.8(T),4.0(T),4.8(T)
LAUCN050930000000004,984(T),906(T),809(T),676(T),785(T),1292(T),1238(T),921(T),749(T),673(T),699(T),828(T)
LAUCN050930000000005,16143(T),16297(T),16440(T),16656(T),16552(T),16445(T),16307(T),16423(T),16642(T),17000(T),16591(T),16519(T)
LAUCN050930000000006,17127(T),17203(T),17249(T),17332(T),17337(T),17737(T),17545(T),17344(T),17391(T),17673(T),17290(T),17347(T)
LAUCN050950000000003,4.8(T),4.7(T),4.3(T),3.4(T),3.9(T),4.7(T),5.1(T),3.9(T),4.0(T),3.7(T),3.9(T),4.5(T)
LAUCN050950000000004,133(T),130(T),117(T),94(T),106(T),130(T),141(T),108(T),110(T),102(T),106(T),124(T)
