area_type_code	area_code	area_text	display_level	selectable	sort_sequence
F	CN1906500000000	Fayette County, IA	0	T	2188
F	CN1906700000000	Floyd County, IA	0	T	2189
F	CN1906900000000	Franklin County, IA	0	T	2190
F	CN1907100000000	Fremont County, IA	0	T	2191
F	CN1907300000000	Greene County, IA	0	T	2192
F	CN1907500000000	Grundy County, IA	0	T	2193
F	CN1907700000000	Guthrie County, IA	0	T	2194
F	CN1907900000000	Hamilton County, IA	0	T	2195
F	CN1908100000000	Hancock County, IA	0	T	2196
F	CN1908300000000	Hardin County, IA	0	T	2197
F	CN1908500000000	Harrison County, IA	0	T	2198
F	CN1908700000000	Henry County, IA	0	T	2199
F	CN1908900000000	Howard County, IA	0	T	2200
F	CN1909100000000	Humboldt County, IA	0	T	2201
F	CN1909300000000	Ida County, IA	0	T	2202
F	CN1909500000000	Iowa County, IA	0	T	2203
F	CN1909700000000	Jackson County, IA	0	T	2204
F	CN1909900000000	Jasper County, IA	0	T	2205
F	CN1910100000000	Jefferson County, IA	0	T	2206
F	CN1910300000000	Johnson County, IA	0	T	2207
F	CN1910500000000	Jones County, IA	0	T	2208
F	CN1910700000000	Keokuk County, IA	0	T	2209
F	CN1910900000000	Kossuth County, IA	0	T	2210
F	CN1911100000000	Lee County, IA	0	T	2211
F	CN1911300000000	Linn County, IA	0	T	2212
F	CN1911500000000	Louisa County, IA	0	T	2213
F	CN1911700000000	Lucas County, IA	0	T	2214
F	CN1911900000000	Lyon County, IA	0	T	2215
F	CN1912100000000	Madison County, IA	0	T	2216
F	CN1912300000000	Mahaska County, IA	0	T	2217
F	CN1912500000000	Marion County, IA	0	T	2218
F	CN1912700000000	Marshall County, IA	0	T	2219
F	CN1912900000000	Mills County, IA	0	T	2220
F	CN1913100000000	Mitchell County, IA	0	T	2221
F	CN1913300000000	Monona County, IA	0	T	2222
F	CN1913500000000	Monroe County, IA	0	T	2223
F	CN1913700000000	Montgomery County, IA	0	T	2224
F	CN1913900000000	Muscatine County, IA	0	T	2225
F	CN1914100000000	O'Brien County, IA	0	T	2226
F	CN1914300000000	Osceola County, IA	0	T	2227
F	CN1914500000000	Page County, IA	0	T	2228
F	CN1914700000000	Palo Alto County, IA	0	T	2229
F	CN1914900000000	Plymouth County, IA	0	T	2230
F	CN1915100000000	Pocahontas County, IA	0	T	2231
F	CN1915300000000	Polk County, IA	0	T	2232
F	CN1915500000000	Pottawattamie County, IA	0	T	2233
F	CN1915700000000	Poweshiek County, IA	0	T	2234
F	CN1915900000000	Ringgold County, IA	0	T	2235
F	CN1916100000000	Sac County, IA	0	T	2236
F	CN1916300000000	Scott County, IA	0	T	2237
F	CN1916500000000	Shelby County, IA	0	T	2238
F	CN1916700000000	Sioux County, IA	0	T	2239
F	CN1916900000000	Story County, IA	0	T	2240
F	CN1917100000000	Tama County, IA	0	T	2241
F	CN1917300000000	Taylor County, IA	0	T	2242
F	CN1917500000000	Union County, IA	0	T	2243
F	CN1917700000000	Van Buren County, IA	0	T	2244
F	CN1917900000000	Wapello County, IA	0	T	2245
F	CN1918100000000	Warren County, IA	0	T	2246
F	CN1918300000000	Washington County, IA	0	T	2247
F	CN1918500000000	Wayne County, IA	0	T	2248
F	CN1918700000000	Webster County, IA	0	T	2249
F	CN1918900000000	Winnebago County, IA	0	T	2250
F	CN1919100000000	Winneshiek County, IA	0	T	2251
F	CN1919300000000	Woodbury County, IA	0	T	2252
F	CN1919500000000	Worth County, IA	0	T	2253
F	CN1919700000000	Wright County, IA	0	T	2254
F	CN2000100000000	Allen County, KS	0	T	2310
F	CN2000300000000	Anderson County, KS	0	T	2311
F	CN2000500000000	Atchison County, KS	0	T	2312
F	CN2000700000000	Barber County, KS	0	T	2313
F	CN2000900000000	Barton County, KS	0	T	2314
F	CN2001100000000	Bourbon County, KS	0	T	2315
F	CN2001300000000	Brown County, KS	0	T	2316
F	CN2001500000000	Butler County, KS	0	T	2317
F	CN2001700000000	Chase County, KS	0	T	2318
F	CN2001900000000	Chautauqua County, KS	0	T	2319
F	CN2002100000000	Cherokee County, KS	0	T	2320
F	CN2002300000000	Cheyenne County, KS	0	T	2321
F	CN2002500000000	Clark County, KS	0	T	2322
F	CN2002700000000	Clay County, KS	0	T	2323
F	CN2002900000000	Cloud County, KS	0	T	2324
F	CN2003100000000	Coffey County, KS	0	T	2325
F	CN2003300000000	Comanche County, KS	0	T	2326
F	CN2003500000000	Cowley County, KS	0	T	2327
F	CN2003700000000	Crawford County, KS	0	T	2328
F	CN2003900000000	Decatur County, KS	0	T	2329
F	CN2004100000000	Dickinson County, KS	0	T	2330
F	CN2004300000000	Doniphan County, KS	0	T	2331
F	CN2004500000000	Douglas County, KS	0	T	2332
F	CN2004700000000	Edwards County, KS	0	T	2333
F	CN2004900000000	Elk County, KS	0	T	2334
F	CN2005100000000	Ellis County, KS	0	T	2335
F	CN2005300000000	Ellsworth County, KS	0	T	2336
F	CN2005500000000	Finney County, KS	0	T	2337
F	CN2005700000000	Ford County, KS	0	T	2338
F	CN2005900000000	Franklin County, KS	0	T	2339
F	CN2006100000000	Geary County, KS	0	T	2340
F	CN2006300000000	Gove County, KS	0	T	2341
F	CN2006500000000	Graham County, KS	0	T	2342
F	CN2006700000000	Grant County, KS	0	T	2343
F	CN2006900000000	Gray County, KS	0	T	2344
F	CN2007100000000	Greeley County, KS	0	T	2345
F	CN2007300000000	Greenwood County, KS	0	T	2346
F	CN2007500000000	Hamilton County, KS	0	T	2347
F	CN2007700000000	Harper County, KS	0	T	2348
F	CN2007900000000	Harvey County, KS	0	T	2349
F	CN2008100000000	Haskell County, KS	0	T	2350
F	CN2008300000000	Hodgeman County, KS	0	T	2351
F	CN2008500000000	Jackson County, KS	0	T	2352
F	CN2008700000000	Jefferson County, KS	0	T	2353
F	CN2008900000000	Jewell County, KS	0	T	2354
F	CN2009100000000	Johnson County, KS	0	T	2355
F	CN2009300000000	Kearny County, KS	0	T	2356
F	CN2009500000000	Kingman County, KS	0	T	2357
F	CN2009700000000	Kiowa County, KS	0	T	2358
F	CN2009900000000	Labette County, KS	0	T	2359
F	CN2010100000000	Lane County, KS	0	T	2360
F	CN2010300000000	Leavenworth County, KS	0	T	2361
F	CN2010500000000	Lincoln County, KS	0	T	2362
F	CN2010700000000	Linn County, KS	0	T	2363
F	CN2010900000000	Logan County, KS	0	T	2364
F	CN2011100000000	Lyon County, KS	0	T	2365
F	CN2011300000000	McPherson County, KS	0	T	2366
F	CN2011500000000	Marion County, KS	0	T	2367
F	CN2011700000000	Marshall County, KS	0	T	2368
F	CN2011900000000	Meade County, KS	0	T	2369
F	CN2012100000000	Miami County, KS	0	T	2370
F	CN2012300000000	Mitchell County, KS	0	T	2371
F	CN2012500000000	Montgomery County, KS	0	T	2372
F	CN2012700000000	Morris County, KS	0	T	2373
F	CN2012900000000	Morton County, KS	0	T	2374
F	CN2013100000000	Nemaha County, KS	0	T	2375
F	CN2013300000000	Neosho County, KS	0	T	2376
F	CN2013500000000	Ness County, KS	0	T	2377
F	CN2013700000000	Norton County, KS	0	T	2378
F	CN2013900000000	Osage County, KS	0	T	2379
F	CN2014100000000	Osborne County, KS	0	T	2380
F	CN2014300000000	Ottawa County, KS	0	T	2381
F	CN2014500000000	Pawnee County, KS	0	T	2382
F	CN2014700000000	Phillips County, KS	0	T	2383
F	CN2014900000000	Pottawatomie County, KS	0	T	2384
F	CN2015100000000	Pratt County, KS	0	T	2385
F	CN2015300000000	Rawlins County, KS	0	T	2386
F	CN2015500000000	Reno County, KS	0	T	2387
F	CN2015700000000	Republic County, KS	0	T	2388
F	CN2015900000000	Rice County, KS	0	T	2389
F	CN2016100000000	Riley County, KS	0	T	2390
F	CN2016300000000	Rooks County, KS	0	T	2391
F	CN2016500000000	Rush County, KS	0	T	2392
F	CN2016700000000	Russell County, KS	0	T	2393
F	CN2016900000000	Saline County, KS	0	T	2394
F	CN2017100000000	Scott County, KS	0	T	2395
F	CN2017300000000	Sedgwick County, KS	0	T	2396
F	CN2017500000000	Seward County, KS	0	T	2397
F	CN2017700000000	Shawnee County, KS	0	T	2398
F	CN2017900000000	Sheridan County, KS	0	T	2399
F	CN2018100000000	Sherman County, KS	0	T	2400
F	CN2018300000000	Smith County, KS	0	T	2401
F	CN2018500000000	Stafford County, KS	0	T	2402
F	CN2018700000000	Stanton County, KS	0	T	2403
F	CN2018900000000	Stevens County, KS	0	T	2404
F	CN2019100000000	Sumner County, KS	0	T	2405
F	CN2019300000000	Thomas County, KS	0	T	2406
F	CN2019500000000	Trego County, KS	0	T	2407
F	CN2019700000000	Wabaunsee County, KS	0	T	2408
F	CN2019900000000	Wallace County, KS	0	T	2409
F	CN2020100000000	Washington County, KS	0	T	2410
F	CN2020300000000	Wichita County, KS	0	T	2411
F	CN2020500000000	Wilson County, KS	0	T	2412
F	CN2020700000000	Woodson County, KS	0	T	2413
F	CN2020900000000	Wyandotte County, KS	0	T	2414
F	CN2100100000000	Adair County, KY	0	T	2462
F	CN2100300000000	Allen County, KY	0	T	2463
F	CN2100500000000	Anderson County, KY	0	T	2464
F	CN2100700000000	Ballard County, KY	0	T	2465
F	CN2100900000000	Barren County, KY	0	T	2466
F	CN2101100000000	Bath County, KY	0	T	2467
F	CN2101300000000	Bell County, KY	0	T	2468
F	CN2101500000000	Boone County, KY	0	T	2469
F	CN2101700000000	Bourbon County, KY	0	T	2470
F	CN2101900000000	Boyd County, KY	0	T	2471
F	CN2102100000000	Boyle County, KY	0	T	2472
F	CN2102300000000	Bracken County, KY	0	T	2473
F	CN2102500000000	Breathitt County, KY	0	T	2474
F	CN2102700000000	Breckinridge County, KY	0	T	2475
F	CN2102900000000	Bullitt County, KY	0	T	2476
F	CN2103100000000	Butler County, KY	0	T	2477
F	CN2103300000000	Caldwell County, KY	0	T	2478
F	CN2103500000000	Calloway County, KY	0	T	2479
F	CN2103700000000	Campbell County, KY	0	T	2480
F	CN2103900000000	Carlisle County, KY	0	T	2481
F	CN2104100000000	Carroll County, KY	0	T	2482
F	CN2104300000000	Carter County, KY	0	T	2483
F	CN2104500000000	Casey County, KY	0	T	2484
F	CN2104700000000	Christian County, KY	0	T	2485
F	CN2104900000000	Clark County, KY	0	T	2486
F	CN2105100000000	Clay County, KY	0	T	2487
F	CN2105300000000	Clinton County, KY	0	T	2488
F	CN2105500000000	Crittenden County, KY	0	T	2489
F	CN2105700000000	Cumberland County, KY	0	T	2490
F	CN2105900000000	Daviess County, KY	0	T	2491
F	CN2106100000000	Edmonson County, KY	0	T	2492
F	CN2106300000000	Elliott County, KY	0	T	2493
F	CN2106500000000	Estill County, KY	0	T	2494
F	CN2106700000000	Fayette County, KY	0	T	2495
F	CN2106900000000	Fleming County, KY	0	T	2496
F	CN2107100000000	Floyd County, KY	0	T	2497
F	CN2107300000000	Franklin County, KY	0	T	2498
F	CN2107500000000	Fulton County, KY	0	T	2499
F	CN2107700000000	Gallatin County, KY	0	T	2500
F	CN2107900000000	Garrard County, KY	0	T	2501
F	CN2108100000000	Grant County, KY	0	T	2502
F	CN2108300000000	Graves County, KY	0	T	2503
F	CN2108500000000	Grayson County, KY	0	T	2504
F	CN2108700000000	Green County, KY	0	T	2505
F	CN2108900000000	Greenup County, KY	0	T	2506
F	CN2109100000000	Hancock County, KY	0	T	2507
F	CN2109300000000	Hardin County, KY	0	T	2508
F	CN2109500000000	Harlan County, KY	0	T	2509
F	CN2109700000000	Harrison County, KY	0	T	2510
F	CN2109900000000	Hart County, KY	0	T	2511
F	CN2110100000000	Henderson County, KY	0	T	2512
F	CN2110300000000	Henry County, KY	0	T	2513
F	CN2110500000000	Hickman County, KY	0	T	2514
F	CN2110700000000	Hopkins County, KY	0	T	2515
F	CN2110900000000	Jackson County, KY	0	T	2516
F	CN2111100000000	Jefferson County, KY	0	T	2517
F	CN2111300000000	Jessamine County, KY	0	T	2518
F	CN2111500000000	Johnson County, KY	0	T	2519
F	CN2111700000000	Kenton County, KY	0	T	2520
F	CN2111900000000	Knott County, KY	0	T	2521
F	CN2112100000000	Knox County, KY	0	T	2522
F	CN2112300000000	Larue County, KY	0	T	2523
F	CN2112500000000	Laurel County, KY	0	T	2524
F	CN2112700000000	Lawrence County, KY	0	T	2525
F	CN2112900000000	Lee County, KY	0	T	2526
F	CN2113100000000	Leslie County, KY	0	T	2527
F	CN2113300000000	Letcher County, KY	0	T	2528
F	CN2113500000000	Lewis County, KY	0	T	2529
F	CN2113700000000	Lincoln County, KY	0	T	2530
F	CN2113900000000	Livingston County, KY	0	T	2531
F	CN2114100000000	Logan County, KY	0	T	2532
F	CN2114300000000	Lyon County, KY	0	T	2533
F	CN2114500000000	McCracken County, KY	0	T	2534
F	CN2114700000000	McCreary County, KY	0	T	2535
F	CN2114900000000	McLean County, KY	0	T	2536
F	CN2115100000000	Madison County, KY	0	T	2537
F	CN2115300000000	Magoffin County, KY	0	T	2538
F	CN2115500000000	Marion County, KY	0	T	2539
F	CN2115700000000	Marshall County, KY	0	T	2540
F	CN2115900000000	Martin County, KY	0	T	2541
F	CN2116100000000	Mason County, KY	0	T	2542
F	CN2116300000000	Meade County, KY	0	T	2543
F	CN2116500000000	Menifee County, KY	0	T	2544
F	CN2116700000000	Mercer County, KY	0	T	2545
F	CN2116900000000	Metcalfe County, KY	0	T	2546
F	CN2117100000000	Monroe County, KY	0	T	2547
F	CN2117300000000	Montgomery County, KY	0	T	2548
F	CN2117500000000	Morgan County, KY	0	T	2549
F	CN2117700000000	Muhlenberg County, KY	0	T	2550
F	CN2117900000000	Nelson County, KY	0	T	2551
F	CN2118100000000	Nicholas County, KY	0	T	2552
F	CN2118300000000	Ohio County, KY	0	T	2553
F	CN2118500000000	Oldham County, KY	0	T	2554
F	CN2118700000000	Owen County, KY	0	T	2555
F	CN2118900000000	Owsley County, KY	0	T	2556
F	CN2119100000000	Pendleton County, KY	0	T	2557
F	CN2119300000000	Perry County, KY	0	T	2558
F	CN2119500000000	Pike County, KY	0	T	2559
F	CN2119700000000	Powell County, KY	0	T	2560
F	CN2119900000000	Pulaski County, KY	0	T	2561
F	CN2120100000000	Robertson County, KY	0	T	2562
F	CN2120300000000	Rockcastle County, KY	0	T	2563
F	CN2120500000000	Rowan County, KY	0	T	2564
F	CN2120700000000	Russell County, KY	0	T	2565
F	CN2120900000000	Scott County, KY	0	T	2566
F	CN2121100000000	Shelby County, KY	0	T	2567
F	CN2121300000000	Simpson County, KY	0	T	2568
F	CN2121500000000	Spencer County, KY	0	T	2569
F	CN2121700000000	Taylor County, KY	0	T	2570
F	CN2121900000000	Todd County, KY	0	T	2571
F	CN2122100000000	Trigg County, KY	0	T	2572
F	CN2122300000000	Trimble County, KY	0	T	2573
F	CN2122500000000	Union County, KY	0	T	2574
F	CN2122700000000	Warren County, KY	0	T	2575
F	CN2122900000000	Washington County, KY	0	T	2576
F	CN2123100000000	Wayne County, KY	0	T	2577
F	CN2123300000000	Webster County, KY	0	T	2578
F	CN2123500000000	Whitley County, KY	0	T	2579
F	CN2123700000000	Wolfe County, KY	0	T	2580
F	CN2123900000000	Woodford County, KY	0	T	2581
F	CN2500100000000	Barnstable County, MA	0	T	3354
F	CN2500300000000	Berkshire County, MA	0	T	3355
F	CN2500500000000	Bristol County, MA	0	T	3356
F	CN2500700000000	Dukes County, MA	0	T	3357
F	CN2500900000000	Essex County, MA	0	T	3358
F	CN2501100000000	Franklin County, MA	0	T	3359
F	CN2501300000000	Hampden County, MA	0	T	3360
F	CN2501500000000	Hampshire County, MA	0	T	3361
F	CN2501700000000	Middlesex County, MA	0	T	3362
F	CN2501900000000	Nantucket County/town, MA	0	T	3363
F	CN2502100000000	Norfolk County, MA	0	T	3364
F	CN2502300000000	Plymouth County, MA	0	T	3365
F	CN2502500000000	Suffolk County, MA	0	T	3366
F	CN2502700000000	Worcester County, MA	0	T	3367
F	CN2600100000000	Alcona County, MI	0	T	3771
F	CN2600300000000	Alger County, MI	0	T	3772
F	CN2600500000000	Allegan County, MI	0	T	3773
F	CN2600700000000	Alpena County, MI	0	T	3774
F	CN2600900000000	Antrim County, MI	0	T	3775
F	CN2601100000000	Arenac County, MI	0	T	3776
F	CN2601300000000	Baraga County, MI	0	T	3777
F	CN2601500000000	Barry County, MI	0	T	3778
F	CN2601700000000	Bay County, MI	0	T	3779
F	CN2601900000000	Benzie County, MI	0	T	3780
F	CN2602100000000	Berrien County, MI	0	T	3781
F	CN2602300000000	Branch County, MI	0	T	3782
